 * Serving Flask app "server" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on https://172.31.100.21:5001/ (Press CTRL+C to quit)
172.17.135.218 - - [25/Nov/2023 12:05:57] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:57] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:57] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:58] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:58] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:58] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:58] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:59] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:59] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:59] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:59] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:59] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:59] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:05:59] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:05:59] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:00] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:15] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:06:15] "GET /getjobs HTTP/1.1" 200 -
